ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty
180,Extract all hashtags from this social media post.,,,,,,,,,,,Extraction,,Easy
181,Design a database sharding strategy for a rapidly growing application.,,,,,,,,,,,Database,,Hard
182,Write a Python program to flatten a nested list.,,,,,,,,,,,Coding,,Medium
183,Design a scalable architecture for a social media platform.,,,,,,,,,,,Architecture,,Hard
184,Explain why merge sort has O(n log n) time complexity.,,,,,,,,,,,Reasoning,,Medium
185,Design an ML pipeline for detecting spam emails.,,,,,,,,,,,ML,,Hard
186,Design a benchmark suite for comparing LLM performance across different task types.,,,,,,,,,,,AI Evaluation,,Hard
187,What is 12 multiplied by 4?,,,,,,,,,,,Mathematics,,Easy
188,Design a recommendation algorithm using content-based filtering.,,,,,,,,,,,ML,,Hard
189,Design a highly available architecture for a global content delivery network.,,,,,,,,,,,Architecture,,Hard
190,Analyze the risks of SQL injection vulnerabilities in a web application.,,,,,,,,,,,Security,,Hard
191,What is a function in programming?,,,,,,,,,,,Factual QA,,Easy
192,Design an architecture for a real-time multiplayer gaming backend.,,,,,,,,,,,Architecture,,Hard
193,Explain how event-driven architecture works with an example.,,,,,,,,,,,Explanation,,Medium
194,Convert 10 inches to centimeters.,,,,,,,,,,,Mathematics,,Easy
195,Explain the difference between a compiler and an assembler.,,,,,,,,,,,Factual QA,,Medium
196,Compare multiple ML algorithms and recommend one for a time-series forecasting problem.,,,,,,,,,,,ML,,Hard
197,Analyze a Python microservice and identify potential concurrency issues.,,,,,,,,,,,Coding,,Hard
198,Explain why quicksort can degrade to O(n^2) in the worst case.,,,,,,,,,,,Reasoning,,Medium
199,What is the capital of Turkey?,,,,,,,,,,,Factual QA,,Easy
200,Compare Python and JavaScript for backend development.,,,,,,,,,,,Analysis,,Medium
201,Design an NLP pipeline for extracting entities from legal documents.,,,,,,,,,,,NLP,,Hard
202,Develop a strategy for migrating a monolithic application to microservices.,,,,,,,,,,,Planning,,Hard
203,Analyze a dataset of API logs to identify the root cause of increased latency.,,,,,,,,,,,Data Analysis,,Hard
204,Write a loop that prints numbers from 1 to 20.,,,,,,,,,,,Coding,,Easy
205,Write a Python program to check if two strings are anagrams.,,,,,,,,,,,Coding,,Medium
206,Analyze a dataset of customer support tickets to discover common failure patterns.,,,,,,,,,,,Data Analysis,,Hard
207,What is a stack data structure?,,,,,,,,,,,Factual QA,,Easy
208,What is a firewall?,,,,,,,,,,,Factual QA,,Easy
209,Write a Python program to rotate an array by k positions.,,,,,,,,,,,Coding,,Medium
210,Compare multiple LLMs on reasoning tasks and determine which performs best.,,,,,,,,,,,AI Analysis,,Hard
211,Design a secure architecture for a healthcare records system.,,,,,,,,,,,Architecture,,Hard
212,Design a text classification system for detecting toxic online comments.,,,,,,,,,,,NLP,,Hard
213,Write a Python program to implement a stack using a list.,,,,,,,,,,,Coding,,Medium
214,Solve the quadratic equation x^2 - 5x + 6 = 0.,,,,,,,,,,,Mathematics,,Medium
215,Design a distributed caching layer for a high-traffic website.,,,,,,,,,,,Architecture,,Hard
216,Explain how merge sort works.,,,,,,,,,,,Explanation,,Medium
217,Analyze the time complexity of the merge sort algorithm and prove it formally.,,,,,,,,,,,Mathematics,,Hard
218,Design a distributed job scheduling system.,,,,,,,,,,,Architecture,,Hard
219,What is 11 multiplied by 11?,,,,,,,,,,,Mathematics,,Easy
220,Design a simple database schema for a hospital appointment system.,,,,,,,,,,,Planning,,Medium
221,Prove that a connected graph with n nodes has at least n-1 edges.,,,,,,,,,,,Mathematics,,Hard
222,Summarize this recipe in one sentence.,,,,,,,,,,,Summarization,,Medium
223,Compare event-driven and request-driven architectures for a large enterprise.,,,,,,,,,,,Analysis,,Hard
224,Summarize a 400-word research abstract into three bullet points.,,,,,,,,,,,Summarization,,Medium
225,Explain how caching improves performance.,,,,,,,,,,,Explanation,,Medium
226,Write a function to check if a number is a perfect square.,,,,,,,,,,,Coding,,Medium
227,Explain why dynamic programming reduces redundant computation.,,,,,,,,,,,Reasoning,,Medium
228,"Calculate the median and mode of the dataset [4, 8, 8, 15, 16, 23].",,,,,,,,,,,Mathematics,,Medium
229,What does CSS stand for?,,,,,,,,,,,Factual QA,,Easy
230,What is the capital of Morocco?,,,,,,,,,,,Factual QA,,Easy
231,Design a simple database schema for an online food delivery app.,,,,,,,,,,,Planning,,Medium
232,Explain how recursion works with an example.,,,,,,,,,,,Explanation,,Medium
233,Summarize this short story in a few words.,,,,,,,,,,,Summarization,,Medium
234,Design a multi-agent AI system for automating customer support workflows.,,,,,,,,,,,AI Architecture,,Hard
235,Design a resilient architecture for an IoT sensor network.,,,,,,,,,,,Architecture,,Hard
236,What is the capital of Chile?,,,,,,,,,,,Factual QA,,Easy
237,Extract all phone numbers from this text.,,,,,,,,,,,Extraction,,Easy
238,Develop an optimization strategy for reducing memory usage in a data pipeline.,,,,,,,,,,,Optimization,,Hard
239,Write a Python program to count the number of characters in a string.,,,,,,,,,,,Coding,,Easy
240,Design a real-time chat application supporting millions of users.,,,,,,,,,,,Architecture,,Hard
241,Write a Python program to find the second smallest number in a list.,,,,,,,,,,,Coding,,Medium
242,Design a fault-tolerant architecture for a stock trading platform.,,,,,,,,,,,Architecture,,Hard
243,Design an evaluation framework for measuring hallucination rates in LLM outputs.,,,,,,,,,,,AI Evaluation,,Hard
244,Find the roots of the equation 2x^2 - 8x + 6 = 0.,,,,,,,,,,,Mathematics,,Medium
245,What is a compiler?,,,,,,,,,,,Factual QA,,Easy
246,What is the capital of Poland?,,,,,,,,,,,Factual QA,,Easy
247,Write a Python function to find the square of a number.,,,,,,,,,,,Coding,,Easy
248,What does URL stand for?,,,,,,,,,,,Factual QA,,Easy
249,"Sort the list [5, 3, 8, 1] in ascending order.",,,,,,,,,,,Mathematics,,Easy
250,Explain how quicksort works.,,,,,,,,,,,Explanation,,Medium
251,"Translate ""Excuse me"" into Korean.",,,,,,,,,,,Translation,,Easy
252,Explain how a hash table resolves collisions.,,,,,,,,,,,Explanation,,Medium
253,Summarize a meeting transcript into action items.,,,,,,,,,,,Summarization,,Medium
254,Debug a distributed system exhibiting inconsistent state across nodes.,,,,,,,,,,,Debugging,,Hard
255,Design a database schema optimized for analytical queries at scale.,,,,,,,,,,,Database,,Hard
256,Analyze how fine-tuning affects an LLM's performance on domain-specific tasks.,,,,,,,,,,,AI Analysis,,Hard
257,Prove that the sum of the first n odd numbers equals n squared using induction.,,,,,,,,,,,Mathematics,,Hard
258,Convert 500 grams to kilograms.,,,,,,,,,,,Mathematics,,Easy
259,Write a Python function to subtract two numbers.,,,,,,,,,,,Coding,,Easy
260,Compare serverless and container-based deployment for a high-traffic API.,,,,,,,,,,,Analysis,,Hard
261,What is the capital of Finland?,,,,,,,,,,,Factual QA,,Easy
262,What is an operating system?,,,,,,,,,,,Factual QA,,Easy
263,Explain how a webhook differs from polling.,,,,,,,,,,,Explanation,,Medium
264,"Count how many even numbers are in [1, 2, 3, 4, 5, 6].",,,,,,,,,,,Mathematics,,Easy
265,Design an event-driven microservices architecture for order processing.,,,,,,,,,,,Architecture,,Hard
266,Design a serverless architecture for a data processing pipeline.,,,,,,,,,,,Architecture,,Hard
267,Convert 3 liters to milliliters.,,,,,,,,,,,Mathematics,,Easy
268,Compare unit testing and integration testing strategies.,,,,,,,,,,,Analysis,,Medium
269,What is 12 + 15?,,,,,,,,,,,Mathematics,,Easy
270,Explain how a linked list differs from an array.,,,,,,,,,,,Explanation,,Medium
271,Compare relational and non-relational databases for an e-commerce app.,,,,,,,,,,,Analysis,,Medium
272,Summarize a 500-word news report highlighting only the key facts.,,,,,,,,,,,Summarization,,Medium
273,What is the capital of Thailand?,,,,,,,,,,,Factual QA,,Easy
274,Write a Python program to swap two variables.,,,,,,,,,,,Coding,,Easy
275,Analyze the causes of bias in a machine learning model and propose mitigation strategies.,,,,,,,,,,,AI Analysis,,Hard
276,"Find the smallest number in [12, 3, 45, 7].",,,,,,,,,,,Mathematics,,Easy
277,"Find the average of the numbers in [2, 4, 6, 8].",,,,,,,,,,,Mathematics,,Easy
278,What is 31 + 14?,,,,,,,,,,,Mathematics,,Easy
279,Explain how DNS resolution works.,,,,,,,,,,,Explanation,,Medium
280,Design an LLM application capable of answering questions across multiple documents.,,,,,,,,,,,AI Architecture,,Hard
281,Develop a strategy for scaling a database to handle 10x current traffic.,,,,,,,,,,,Planning,,Hard
282,Extract all product names from this list.,,,,,,,,,,,Extraction,,Easy
283,Analyze how temperature settings affect LLM output quality and consistency.,,,,,,,,,,,AI Analysis,,Hard
284,"Translate ""See you later"" into Portuguese.",,,,,,,,,,,Translation,,Easy
285,Analyze the security implications of using weak encryption algorithms.,,,,,,,,,,,Security,,Hard
286,Extract all URLs from this webpage text.,,,,,,,,,,,Extraction,,Easy
287,Design a cost-aware AI inference system that balances latency and accuracy.,,,,,,,,,,,AI Architecture,,Hard
288,Analyze the scalability bottlenecks in a monolithic e-commerce application.,,,,,,,,,,,Analysis,,Hard
289,"Translate ""Please"" into Hindi.",,,,,,,,,,,Translation,,Easy
290,What is the capital of Germany?,,,,,,,,,,,Factual QA,,Easy
291,Write a Python function to convert a string to uppercase.,,,,,,,,,,,Coding,,Easy
292,Design a basic project plan for launching a mobile app.,,,,,,,,,,,Planning,,Medium
293,Summarize a 600-word blog post into four key takeaways.,,,,,,,,,,,Summarization,,Medium
294,What is object-oriented programming?,,,,,,,,,,,Factual QA,,Easy
295,Explain how threads differ from processes.,,,,,,,,,,,Explanation,,Medium
296,"Translate ""Good night"" into Arabic.",,,,,,,,,,,Translation,,Easy
297,Write a function to find all pairs in an array that sum to a target value.,,,,,,,,,,,Coding,,Medium
298,Find the area under the curve f(x) = x^2 from x=0 to x=3.,,,,,,,,,,,Mathematics,,Medium
299,Explain how a reverse proxy works.,,,,,,,,,,,Explanation,,Medium
300,Design an A/B test to evaluate a new caching strategy's effect on latency.,,,,,,,,,,,Experimentation,,Hard
301,Write a Python program to implement breadth-first search on a graph.,,,,,,,,,,,Coding,,Medium
302,What is the capital of Kenya?,,,,,,,,,,,Factual QA,,Easy
303,What is data normalization?,,,,,,,,,,,Factual QA,,Easy
304,Explain how distributed locking works in distributed systems.,,,,,,,,,,,Explanation,,Medium
305,Summarize a product requirements document into a short overview.,,,,,,,,,,,Summarization,,Medium
306,Design a scalable notification system for a mobile application.,,,,,,,,,,,Architecture,,Hard
307,What is 15 multiplied by 28?,,,,,,,,,,,Mathematics,,Easy
308,Explain how connection pooling improves database performance.,,,,,,,,,,,Explanation,,Medium
309,"Translate ""I love you"" into French.",,,,,,,,,,,Translation,,Easy
310,Design a model retraining pipeline that adapts to changing data patterns.,,,,,,,,,,,ML,,Hard
311,Write a Python program to implement a circular queue.,,,,,,,,,,,Coding,,Medium
312,What is 99 multiplied by 61?,,,,,,,,,,,Mathematics,,Easy
313,What is a foreign key constraint?,,,,,,,,,,,Factual QA,,Easy
314,What is 76 multiplied by 109?,,,,,,,,,,,Mathematics,,Easy
315,Explain the trade-offs between build-vs-buy decisions for a critical infrastructure component.,,,,,,,,,,,Reasoning,,Hard
316,What is a data type?,,,,,,,,,,,Factual QA,,Easy
317,What is 8 + 20?,,,,,,,,,,,Mathematics,,Easy
318,What is an algorithm?,,,,,,,,,,,Factual QA,,Easy
319,What is 17 - 57?,,,,,,,,,,,Mathematics,,Easy
320,Design a zero-trust security architecture for a corporate network.,,,,,,,,,,,Security,,Hard
321,What is the capital of Senegal?,,,,,,,,,,,Factual QA,,Easy
322,Design a model monitoring system for detecting data drift in production.,,,,,,,,,,,ML,,Hard
323,Compare leader-based and leaderless replication strategies for distributed databases.,,,,,,,,,,,Analysis,,Hard
324,Design an AI system for automatically generating release notes from commit history.,,,,,,,,,,,AI Architecture,,Hard
325,Write a Python program to print the multiplication table of a number.,,,,,,,,,,,Coding,,Easy
326,Design a sentiment analysis system for real-time social media monitoring.,,,,,,,,,,,NLP,,Hard
327,Explain how gossip protocols work in distributed systems.,,,,,,,,,,,Explanation,,Medium
328,Design an AI-powered code review system integrated into a CI/CD pipeline.,,,,,,,,,,,AI Architecture,,Hard
329,Write a Python program to implement insertion sort.,,,,,,,,,,,Coding,,Medium
330,What is the capital of Mongolia?,,,,,,,,,,,Factual QA,,Easy
331,What is a lambda function?,,,,,,,,,,,Factual QA,,Easy
332,What is an IP address?,,,,,,,,,,,Factual QA,,Easy
333,Write a Python program to count occurrences of a word in a sentence.,,,,,,,,,,,Coding,,Easy
334,"What is 84 divided by 40, rounded to two decimal places?",,,,,,,,,,,Mathematics,,Easy
335,"Find the median of the dataset [7, 2, 9, 4, 5].",,,,,,,,,,,Mathematics,,Easy
336,Design a human-in-the-loop evaluation process for grading LLM responses.,,,,,,,,,,,AI Evaluation,,Hard
337,What is a class in programming?,,,,,,,,,,,Factual QA,,Easy
