ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty,cluster_id
55,Develop a strategy for reducing latency in a distributed API.,,,,,,,,,,,Planning,,Hard,7
56,Design a secure authentication system for a banking application.,,,,,,,,,,,Architecture,,Hard,7
57,Analyze conflicting requirements and propose an optimal solution.,,,,,,,,,,,Reasoning,,Hard,7
58,Design an ML pipeline for detecting credit-card fraud.,,,,,,,,,,,ML,,Hard,7
59,Debug a complex application involving database deadlocks.,,,,,,,,,,,Coding,,Hard,5
60,Design a system capable of processing millions of events per second.,,,,,,,,,,,Architecture,,Hard,7
61,"Given a long document, identify contradictions between different sections.",,,,,,,,,,,Analysis,,Hard,2
62,Compare multiple ML algorithms and recommend one for an imbalanced dataset.,,,,,,,,,,,ML,,Hard,5
63,Design a distributed file-storage system similar to cloud storage.,,,,,,,,,,,Architecture,,Hard,7
64,Analyze the security implications of storing user credentials incorrectly.,,,,,,,,,,,Security,,Hard,5
65,Develop an optimization strategy for a computationally expensive algorithm.,,,,,,,,,,,Optimization,,Hard,7
66,Design a real-time vehicle tracking system for a large city.,,,,,,,,,,,Architecture,,Hard,7
67,Analyze why a machine-learning model performs poorly despite high training accuracy.,,,,,,,,,,,ML,,Hard,5
68,Design a recommendation algorithm using collaborative filtering.,,,,,,,,,,,ML,,Hard,7
69,Explain and solve a complex dynamic programming problem.,,,,,,,,,,,Algorithm,,Hard,7
70,Design a reliable message-processing system that guarantees delivery.,,,,,,,,,,,Architecture,,Hard,7
71,Summarize a 10-page technical document while preserving all critical information.,,,,,,,,,,,Summarization,,Hard,2
72,Analyze a long legal-style document and identify conflicting clauses.,,,,,,,,,,,Analysis,,Hard,2
73,Design a multi-region cloud architecture with disaster recovery.,,,,,,,,,,,Architecture,,Hard,7
74,Optimize a slow SQL query involving multiple large tables.,,,,,,,,,,,Database,,Hard,7
75,Design an NLP system capable of classifying millions of documents.,,,,,,,,,,,NLP,,Hard,2
76,Analyze the causes of model hallucination and propose mitigation techniques.,,,,,,,,,,,AI Analysis,,Hard,5
77,Design a scalable API gateway capable of handling millions of requests.,,,,,,,,,,,Architecture,,Hard,7
78,Compare different caching strategies for a high-traffic application.,,,,,,,,,,,Analysis,,Hard,5
79,Design a secure system for storing sensitive customer information.,,,,,,,,,,,Security,,Hard,7
80,Analyze a complex software architecture and recommend improvements.,,,,,,,,,,,Architecture,,Hard,7
81,Build an algorithm to detect anomalies in a large time-series dataset.,,,,,,,,,,,ML,,Hard,7
82,Design an LLM application capable of processing very large documents.,,,,,,,,,,,AI Architecture,,Hard,7
83,Analyze why an application experiences intermittent failures under heavy load.,,,,,,,,,,,Debugging,,Hard,5
84,Design an efficient distributed logging system.,,,,,,,,,,,Architecture,,Hard,7
85,Develop a strategy for optimizing GPU utilization during model inference.,,,,,,,,,,,Optimization,,Hard,5
86,Compare multiple LLMs and determine which model should handle different tasks.,,,,,,,,,,,AI Analysis,,Hard,5
87,Design a cost-aware AI inference system that maintains a quality threshold.,,,,,,,,,,,AI Architecture,,Hard,5
88,"Analyze the trade-off between model accuracy, latency, and inference cost.",,,,,,,,,,,Analysis,,Hard,5
89,Design an adaptive LLM routing system using historical performance data.,,,,,,,,,,,AI Architecture,,Hard,7
90,Develop an algorithm that dynamically selects an AI model based on request difficulty.,,,,,,,,,,,Algorithm,,Hard,7
91,Analyze how prompt caching can reduce LLM inference costs.,,,,,,,,,,,AI Analysis,,Medium,5
92,Design a cache invalidation strategy for frequently changing documents.,,,,,,,,,,,Architecture,,Hard,5
93,Compare model routing based on prompt length versus semantic difficulty.,,,,,,,,,,,Analysis,,Hard,5
94,Design an evaluation framework for comparing LLM answer quality.,,,,,,,,,,,AI Evaluation,,Hard,5
95,Analyze whether a cheaper LLM can safely answer a particular request.,,,,,,,,,,,AI Analysis,,Hard,5
96,Design a system that automatically escalates requests when answer quality is insufficient.,,,,,,,,,,,AI Architecture,,Hard,5
97,"Create an optimization strategy balancing LLM cost, latency, and quality.",,,,,,,,,,,Optimization,,Hard,7
98,Design an experiment to prove that an LLM routing system reduces cost without degrading quality.,,,,,,,,,,,Experimentation,,Hard,5
99,Analyze a dataset of LLM requests and discover which features predict model failure.,,,,,,,,,,,Data Analysis,,Hard,5
100,"Design an intelligent LLM gateway that combines routing, caching, quality evaluation, and automatic escalation.",,,,,,,,,,,AI Architecture,,Hard,7
101,What is a variable?,,,,,,,,,,,Factual QA,,Easy,1
102,Explain how version control with Git works.,,,,,,,,,,,Explanation,,Medium,1
103,What is the capital of Peru?,,,,,,,,,,,Factual QA,,Easy,4
104,Write a program to validate whether a given string has balanced parentheses.,,,,,,,,,,,Coding,,Medium,0
105,Design an NLP system capable of summarizing millions of customer reviews.,,,,,,,,,,,NLP,,Hard,2
106,Build an algorithm to detect outliers in high-dimensional data.,,,,,,,,,,,ML,,Hard,7
107,Find the derivative of f(x) = 3x^2 + 2x - 5.,,,,,,,,,,,Mathematics,,Medium,8
108,Optimize a slow SQL query involving multiple joins and subqueries.,,,,,,,,,,,Database,,Hard,7
109,Summarize this email into a single sentence.,,,,,,,,,,,Summarization,,Medium,2
110,Develop an algorithm for optimal task scheduling under resource constraints.,,,,,,,,,,,Algorithm,,Hard,7
111,What is a linked list?,,,,,,,,,,,Factual QA,,Easy,1
112,What is 72 + 11?,,,,,,,,,,,Mathematics,,Easy,3
113,Analyze why a deep learning model overfits despite regularization.,,,,,,,,,,,ML,,Hard,5
114,Design an AI system that dynamically selects between multiple models based on task complexity.,,,,,,,,,,,AI Architecture,,Hard,7
115,Analyze the trade-offs between strong consistency and eventual consistency.,,,,,,,,,,,Analysis,,Hard,5
116,Design an algorithm for efficient string matching across millions of documents.,,,,,,,,,,,Algorithm,,Hard,7
117,Convert 5 kilometers to meters.,,,,,,,,,,,Mathematics,,Easy,8
118,Develop a strategy for optimizing database indexing for read-heavy workloads.,,,,,,,,,,,Optimization,,Hard,7
119,Write a Python program to implement a queue using two stacks.,,,,,,,,,,,Coding,,Medium,0
120,Explain how containerization with Docker works.,,,,,,,,,,,Explanation,,Medium,6
121,Explain how a REST API handles authentication using tokens.,,,,,,,,,,,Explanation,,Medium,6
122,What is the capital of Canada?,,,,,,,,,,,Factual QA,,Easy,4
123,"Summarize a lengthy legal contract, highlighting all obligations and risks.",,,,,,,,,,,Summarization,,Hard,2
124,Develop an algorithm for detecting duplicate records across large datasets.,,,,,,,,,,,Algorithm,,Hard,7
125,Explain how a binary tree is traversed.,,,,,,,,,,,Explanation,,Medium,6
126,Develop a rollout plan for deploying a new feature with minimal downtime.,,,,,,,,,,,Planning,,Hard,7
127,Summarize this product review in one sentence.,,,,,,,,,,,Summarization,,Medium,2
128,Explain how HTTPS encryption works.,,,,,,,,,,,Explanation,,Medium,6
129,Explain how CI/CD pipelines work.,,,,,,,,,,,Explanation,,Medium,1
130,Write a Python program to reverse a string.,,,,,,,,,,,Coding,,Easy,0
131,What is 23 + 9?,,,,,,,,,,,Mathematics,,Easy,3
132,"Find the sum of the elements in [1, 2, 3, 4, 5].",,,,,,,,,,,Mathematics,,Easy,8
133,Summarize this news article in two sentences.,,,,,,,,,,,Summarization,,Medium,2
134,What is the capital of Portugal?,,,,,,,,,,,Factual QA,,Easy,4
135,Write a function to check whether a linked list contains a cycle.,,,,,,,,,,,Coding,,Medium,0
136,What is 17 + 24?,,,,,,,,,,,Mathematics,,Easy,3
137,Explain the difference between IPv4 and IPv6.,,,,,,,,,,,Factual QA,,Medium,6
138,Solve the system 3x+2y=12 and x-y=1.,,,,,,,,,,,Mathematics,,Medium,8
139,What is the capital of Norway?,,,,,,,,,,,Factual QA,,Easy,4
140,Summarize a 20-page technical whitepaper while preserving all critical findings.,,,,,,,,,,,Summarization,,Hard,2
141,What is 6 multiplied by 7?,,,,,,,,,,,Mathematics,,Easy,3
142,What is JavaScript?,,,,,,,,,,,Factual QA,,Easy,1
143,Design a scalable architecture for a ride-sharing application.,,,,,,,,,,,Architecture,,Hard,7
144,Optimize a slow-running batch processing job handling terabytes of data.,,,,,,,,,,,Optimization,,Hard,7
145,What is the capital of Egypt?,,,,,,,,,,,Factual QA,,Easy,4
146,Explain the difference between synchronous and asynchronous programming.,,,,,,,,,,,Factual QA,,Medium,6
147,Analyze a legacy codebase written in Java and identify refactoring opportunities.,,,,,,,,,,,Coding,,Hard,5
148,What is the capital of Australia?,,,,,,,,,,,Factual QA,,Easy,4
149,"Translate ""Thank you"" into German.",,,,,,,,,,,Translation,,Easy,9
150,What does CPU stand for?,,,,,,,,,,,Factual QA,,Easy,1
151,What is the capital of Brazil?,,,,,,,,,,,Factual QA,,Easy,4
152,What is the capital of Greece?,,,,,,,,,,,Factual QA,,Easy,4
153,Write a Python program to print the Fibonacci sequence up to 10 terms.,,,,,,,,,,,Coding,,Easy,0
154,Explain the difference between REST and GraphQL.,,,,,,,,,,,Factual QA,,Medium,6
155,Design a secure system for handling API authentication tokens.,,,,,,,,,,,Security,,Hard,7
156,Compare vertical scaling and horizontal scaling for a growing application.,,,,,,,,,,,Analysis,,Medium,7
157,Develop an algorithm to detect cycles in a large directed graph.,,,,,,,,,,,Algorithm,,Hard,7
158,Design a retrieval-augmented generation system for enterprise knowledge bases.,,,,,,,,,,,AI Architecture,,Hard,7
159,Explain the trade-offs between latency and throughput in a distributed system.,,,,,,,,,,,Reasoning,,Hard,6
160,Write a Python program to remove duplicates from a list without using set().,,,,,,,,,,,Coding,,Medium,0
161,Extract all dates mentioned in this paragraph.,,,,,,,,,,,Extraction,,Easy,2
162,Analyze this recursive function and identify why it causes a stack overflow.,,,,,,,,,,,Coding,,Hard,6
163,Debug a memory leak in a long-running Node.js application.,,,,,,,,,,,Coding,,Hard,5
164,Convert 1 mile to kilometers.,,,,,,,,,,,Mathematics,,Easy,8
165,What is a queue data structure?,,,,,,,,,,,Factual QA,,Easy,6
166,Explain how a compiler differs from an interpreter.,,,,,,,,,,,Explanation,,Medium,6
167,Debug this asynchronous JavaScript code and explain the race condition.,,,,,,,,,,,Coding,,Hard,5
168,Write a Python program to implement binary search on a sorted list.,,,,,,,,,,,Coding,,Medium,0
169,"Translate ""Welcome"" into Japanese.",,,,,,,,,,,Translation,,Easy,9
170,What is the capital of Vietnam?,,,,,,,,,,,Factual QA,,Easy,4
171,Convert 2 hours into minutes.,,,,,,,,,,,Mathematics,,Easy,8
172,Analyze why a production service experiences memory leaks under sustained load.,,,,,,,,,,,Debugging,,Hard,5
173,Write a Python program to convert Celsius to Fahrenheit.,,,,,,,,,,,Coding,,Easy,0
174,Summarize a customer support transcript into a short report.,,,,,,,,,,,Summarization,,Medium,2
175,What is the capital of Japan?,,,,,,,,,,,Factual QA,,Easy,4
176,Write a Python program to find the GCD of two numbers.,,,,,,,,,,,Coding,,Medium,0
177,Explain how a load balancer works.,,,,,,,,,,,Explanation,,Medium,6
178,Analyze conflicting business requirements for a multi-region deployment and propose a resolution.,,,,,,,,,,,Reasoning,,Hard,7
179,"Translate ""Good morning"" into Italian.",,,,,,,,,,,Translation,,Easy,9
180,Extract all hashtags from this social media post.,,,,,,,,,,,Extraction,,Easy,2
181,Design a database sharding strategy for a rapidly growing application.,,,,,,,,,,,Database,,Hard,7
182,Write a Python program to flatten a nested list.,,,,,,,,,,,Coding,,Medium,0
183,Design a scalable architecture for a social media platform.,,,,,,,,,,,Architecture,,Hard,7
184,Explain why merge sort has O(n log n) time complexity.,,,,,,,,,,,Reasoning,,Medium,6
185,Design an ML pipeline for detecting spam emails.,,,,,,,,,,,ML,,Hard,7
186,Design a benchmark suite for comparing LLM performance across different task types.,,,,,,,,,,,AI Evaluation,,Hard,5
187,What is 12 multiplied by 4?,,,,,,,,,,,Mathematics,,Easy,3
188,Design a recommendation algorithm using content-based filtering.,,,,,,,,,,,ML,,Hard,7
189,Design a highly available architecture for a global content delivery network.,,,,,,,,,,,Architecture,,Hard,7
190,Analyze the risks of SQL injection vulnerabilities in a web application.,,,,,,,,,,,Security,,Hard,5
191,What is a function in programming?,,,,,,,,,,,Factual QA,,Easy,1
192,Design an architecture for a real-time multiplayer gaming backend.,,,,,,,,,,,Architecture,,Hard,7
193,Explain how event-driven architecture works with an example.,,,,,,,,,,,Explanation,,Medium,6
194,Convert 10 inches to centimeters.,,,,,,,,,,,Mathematics,,Easy,8
195,Explain the difference between a compiler and an assembler.,,,,,,,,,,,Factual QA,,Medium,6
196,Compare multiple ML algorithms and recommend one for a time-series forecasting problem.,,,,,,,,,,,ML,,Hard,7
197,Analyze a Python microservice and identify potential concurrency issues.,,,,,,,,,,,Coding,,Hard,5
198,Explain why quicksort can degrade to O(n^2) in the worst case.,,,,,,,,,,,Reasoning,,Medium,6
199,What is the capital of Turkey?,,,,,,,,,,,Factual QA,,Easy,4
200,Compare Python and JavaScript for backend development.,,,,,,,,,,,Analysis,,Medium,5
201,Design an NLP pipeline for extracting entities from legal documents.,,,,,,,,,,,NLP,,Hard,2
202,Develop a strategy for migrating a monolithic application to microservices.,,,,,,,,,,,Planning,,Hard,7
203,Analyze a dataset of API logs to identify the root cause of increased latency.,,,,,,,,,,,Data Analysis,,Hard,5
204,Write a loop that prints numbers from 1 to 20.,,,,,,,,,,,Coding,,Easy,0
205,Write a Python program to check if two strings are anagrams.,,,,,,,,,,,Coding,,Medium,0
206,Analyze a dataset of customer support tickets to discover common failure patterns.,,,,,,,,,,,Data Analysis,,Hard,5
207,What is a stack data structure?,,,,,,,,,,,Factual QA,,Easy,1
208,What is a firewall?,,,,,,,,,,,Factual QA,,Easy,1
209,Write a Python program to rotate an array by k positions.,,,,,,,,,,,Coding,,Medium,0
210,Compare multiple LLMs on reasoning tasks and determine which performs best.,,,,,,,,,,,AI Analysis,,Hard,5
211,Design a secure architecture for a healthcare records system.,,,,,,,,,,,Architecture,,Hard,7
212,Design a text classification system for detecting toxic online comments.,,,,,,,,,,,NLP,,Hard,2
213,Write a Python program to implement a stack using a list.,,,,,,,,,,,Coding,,Medium,0
214,Solve the quadratic equation x^2 - 5x + 6 = 0.,,,,,,,,,,,Mathematics,,Medium,8
215,Design a distributed caching layer for a high-traffic website.,,,,,,,,,,,Architecture,,Hard,7
216,Explain how merge sort works.,,,,,,,,,,,Explanation,,Medium,6
217,Analyze the time complexity of the merge sort algorithm and prove it formally.,,,,,,,,,,,Mathematics,,Hard,6
218,Design a distributed job scheduling system.,,,,,,,,,,,Architecture,,Hard,7
219,What is 11 multiplied by 11?,,,,,,,,,,,Mathematics,,Easy,3
220,Design a simple database schema for a hospital appointment system.,,,,,,,,,,,Planning,,Medium,7
221,Prove that a connected graph with n nodes has at least n-1 edges.,,,,,,,,,,,Mathematics,,Hard,6
222,Summarize this recipe in one sentence.,,,,,,,,,,,Summarization,,Medium,2
223,Compare event-driven and request-driven architectures for a large enterprise.,,,,,,,,,,,Analysis,,Hard,7
224,Summarize a 400-word research abstract into three bullet points.,,,,,,,,,,,Summarization,,Medium,2
225,Explain how caching improves performance.,,,,,,,,,,,Explanation,,Medium,6
226,Write a function to check if a number is a perfect square.,,,,,,,,,,,Coding,,Medium,0
227,Explain why dynamic programming reduces redundant computation.,,,,,,,,,,,Reasoning,,Medium,6
228,"Calculate the median and mode of the dataset [4, 8, 8, 15, 16, 23].",,,,,,,,,,,Mathematics,,Medium,8
229,What does CSS stand for?,,,,,,,,,,,Factual QA,,Easy,1
230,What is the capital of Morocco?,,,,,,,,,,,Factual QA,,Easy,4
231,Design a simple database schema for an online food delivery app.,,,,,,,,,,,Planning,,Medium,7
232,Explain how recursion works with an example.,,,,,,,,,,,Explanation,,Medium,6
233,Summarize this short story in a few words.,,,,,,,,,,,Summarization,,Medium,2
234,Design a multi-agent AI system for automating customer support workflows.,,,,,,,,,,,AI Architecture,,Hard,7
235,Design a resilient architecture for an IoT sensor network.,,,,,,,,,,,Architecture,,Hard,7
236,What is the capital of Chile?,,,,,,,,,,,Factual QA,,Easy,4
237,Extract all phone numbers from this text.,,,,,,,,,,,Extraction,,Easy,2
238,Develop an optimization strategy for reducing memory usage in a data pipeline.,,,,,,,,,,,Optimization,,Hard,7
239,Write a Python program to count the number of characters in a string.,,,,,,,,,,,Coding,,Easy,0
240,Design a real-time chat application supporting millions of users.,,,,,,,,,,,Architecture,,Hard,7
241,Write a Python program to find the second smallest number in a list.,,,,,,,,,,,Coding,,Medium,0
242,Design a fault-tolerant architecture for a stock trading platform.,,,,,,,,,,,Architecture,,Hard,7
243,Design an evaluation framework for measuring hallucination rates in LLM outputs.,,,,,,,,,,,AI Evaluation,,Hard,5
244,Find the roots of the equation 2x^2 - 8x + 6 = 0.,,,,,,,,,,,Mathematics,,Medium,8
245,What is a compiler?,,,,,,,,,,,Factual QA,,Easy,1
246,What is the capital of Poland?,,,,,,,,,,,Factual QA,,Easy,4
247,Write a Python function to find the square of a number.,,,,,,,,,,,Coding,,Easy,0
248,What does URL stand for?,,,,,,,,,,,Factual QA,,Easy,1
249,"Sort the list [5, 3, 8, 1] in ascending order.",,,,,,,,,,,Mathematics,,Easy,8
250,Explain how quicksort works.,,,,,,,,,,,Explanation,,Medium,6
251,"Translate ""Excuse me"" into Korean.",,,,,,,,,,,Translation,,Easy,9
252,Explain how a hash table resolves collisions.,,,,,,,,,,,Explanation,,Medium,6
253,Summarize a meeting transcript into action items.,,,,,,,,,,,Summarization,,Medium,2
254,Debug a distributed system exhibiting inconsistent state across nodes.,,,,,,,,,,,Debugging,,Hard,5
255,Design a database schema optimized for analytical queries at scale.,,,,,,,,,,,Database,,Hard,7
256,Analyze how fine-tuning affects an LLM's performance on domain-specific tasks.,,,,,,,,,,,AI Analysis,,Hard,5
257,Prove that the sum of the first n odd numbers equals n squared using induction.,,,,,,,,,,,Mathematics,,Hard,8
258,Convert 500 grams to kilograms.,,,,,,,,,,,Mathematics,,Easy,8
259,Write a Python function to subtract two numbers.,,,,,,,,,,,Coding,,Easy,0
260,Compare serverless and container-based deployment for a high-traffic API.,,,,,,,,,,,Analysis,,Hard,7
261,What is the capital of Finland?,,,,,,,,,,,Factual QA,,Easy,4
262,What is an operating system?,,,,,,,,,,,Factual QA,,Easy,1
263,Explain how a webhook differs from polling.,,,,,,,,,,,Explanation,,Medium,6
264,"Count how many even numbers are in [1, 2, 3, 4, 5, 6].",,,,,,,,,,,Mathematics,,Easy,8
265,Design an event-driven microservices architecture for order processing.,,,,,,,,,,,Architecture,,Hard,7
266,Design a serverless architecture for a data processing pipeline.,,,,,,,,,,,Architecture,,Hard,7
267,Convert 3 liters to milliliters.,,,,,,,,,,,Mathematics,,Easy,8
268,Compare unit testing and integration testing strategies.,,,,,,,,,,,Analysis,,Medium,5
269,What is 12 + 15?,,,,,,,,,,,Mathematics,,Easy,3
270,Explain how a linked list differs from an array.,,,,,,,,,,,Explanation,,Medium,6
271,Compare relational and non-relational databases for an e-commerce app.,,,,,,,,,,,Analysis,,Medium,7
272,Summarize a 500-word news report highlighting only the key facts.,,,,,,,,,,,Summarization,,Medium,2
273,What is the capital of Thailand?,,,,,,,,,,,Factual QA,,Easy,4
274,Write a Python program to swap two variables.,,,,,,,,,,,Coding,,Easy,0
275,Analyze the causes of bias in a machine learning model and propose mitigation strategies.,,,,,,,,,,,AI Analysis,,Hard,5
276,"Find the smallest number in [12, 3, 45, 7].",,,,,,,,,,,Mathematics,,Easy,8
277,"Find the average of the numbers in [2, 4, 6, 8].",,,,,,,,,,,Mathematics,,Easy,8
278,What is 31 + 14?,,,,,,,,,,,Mathematics,,Easy,3
279,Explain how DNS resolution works.,,,,,,,,,,,Explanation,,Medium,6
280,Design an LLM application capable of answering questions across multiple documents.,,,,,,,,,,,AI Architecture,,Hard,2
281,Develop a strategy for scaling a database to handle 10x current traffic.,,,,,,,,,,,Planning,,Hard,7
282,Extract all product names from this list.,,,,,,,,,,,Extraction,,Easy,2
283,Analyze how temperature settings affect LLM output quality and consistency.,,,,,,,,,,,AI Analysis,,Hard,5
284,"Translate ""See you later"" into Portuguese.",,,,,,,,,,,Translation,,Easy,9
285,Analyze the security implications of using weak encryption algorithms.,,,,,,,,,,,Security,,Hard,5
286,Extract all URLs from this webpage text.,,,,,,,,,,,Extraction,,Easy,2
287,Design a cost-aware AI inference system that balances latency and accuracy.,,,,,,,,,,,AI Architecture,,Hard,5
288,Analyze the scalability bottlenecks in a monolithic e-commerce application.,,,,,,,,,,,Analysis,,Hard,7
289,"Translate ""Please"" into Hindi.",,,,,,,,,,,Translation,,Easy,9
290,What is the capital of Germany?,,,,,,,,,,,Factual QA,,Easy,4
291,Write a Python function to convert a string to uppercase.,,,,,,,,,,,Coding,,Easy,0
292,Design a basic project plan for launching a mobile app.,,,,,,,,,,,Planning,,Medium,7
293,Summarize a 600-word blog post into four key takeaways.,,,,,,,,,,,Summarization,,Medium,2
294,What is object-oriented programming?,,,,,,,,,,,Factual QA,,Easy,1
295,Explain how threads differ from processes.,,,,,,,,,,,Explanation,,Medium,6
296,"Translate ""Good night"" into Arabic.",,,,,,,,,,,Translation,,Easy,9
297,Write a function to find all pairs in an array that sum to a target value.,,,,,,,,,,,Coding,,Medium,8
298,Find the area under the curve f(x) = x^2 from x=0 to x=3.,,,,,,,,,,,Mathematics,,Medium,8
299,Explain how a reverse proxy works.,,,,,,,,,,,Explanation,,Medium,6
300,Design an A/B test to evaluate a new caching strategy's effect on latency.,,,,,,,,,,,Experimentation,,Hard,5
301,Write a Python program to implement breadth-first search on a graph.,,,,,,,,,,,Coding,,Medium,0
302,What is the capital of Kenya?,,,,,,,,,,,Factual QA,,Easy,4
303,What is data normalization?,,,,,,,,,,,Factual QA,,Easy,1
304,Explain how distributed locking works in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
305,Summarize a product requirements document into a short overview.,,,,,,,,,,,Summarization,,Medium,2
306,Design a scalable notification system for a mobile application.,,,,,,,,,,,Architecture,,Hard,7
307,What is 15 multiplied by 28?,,,,,,,,,,,Mathematics,,Easy,3
308,Explain how connection pooling improves database performance.,,,,,,,,,,,Explanation,,Medium,6
309,"Translate ""I love you"" into French.",,,,,,,,,,,Translation,,Easy,9
310,Design a model retraining pipeline that adapts to changing data patterns.,,,,,,,,,,,ML,,Hard,7
311,Write a Python program to implement a circular queue.,,,,,,,,,,,Coding,,Medium,0
312,What is 99 multiplied by 61?,,,,,,,,,,,Mathematics,,Easy,3
313,What is a foreign key constraint?,,,,,,,,,,,Factual QA,,Easy,1
314,What is 76 multiplied by 109?,,,,,,,,,,,Mathematics,,Easy,3
315,Explain the trade-offs between build-vs-buy decisions for a critical infrastructure component.,,,,,,,,,,,Reasoning,,Hard,7
316,What is a data type?,,,,,,,,,,,Factual QA,,Easy,1
317,What is 8 + 20?,,,,,,,,,,,Mathematics,,Easy,3
318,What is an algorithm?,,,,,,,,,,,Factual QA,,Easy,1
319,What is 17 - 57?,,,,,,,,,,,Mathematics,,Easy,3
320,Design a zero-trust security architecture for a corporate network.,,,,,,,,,,,Security,,Hard,7
321,What is the capital of Senegal?,,,,,,,,,,,Factual QA,,Easy,4
